Judul,penulis,dosen_pembimbing_1,dosen_pembimbing_2,abstrak
"Pengaruh Kesesuaian Kompensasi, Moralitas Individu dan Pengendalian Internal Terhadap Kecenderungan Kecurangan Akuntansi (Fraud) Pada Organisasi Pemerintah Daerah (OPD) di Pamekasan",Penulis : AGUS MAULIDANI UBAIDILLAH,"Dosen Pembimbing I : Junaidi, S.E., M.Si., Ak.","Dosen Pembimbing II :Muhammad Syam Kusufi, SE., M.Sc.","ABSTRAK
Agus Maulidani Ubaidillah, Pengaruh Kesesuaian Kompensasi, Moralitas Individu dan Pengendalian Internal Terhadap Kecenderungan Kecurangan Akuntansi (Fraud) Pada Organisasi Pemerintah Daerah (OPD) di Pamekasan. Dibawah bimbingan Junaidi, S.E., M.Si., Ak. dan Muhammad Syam Kusufi, SE., M.Sc. 
Penelitian ini bertujuan untuk menguji pengaruh kesesuaian kompensasi, moralitas individu dan pengendalian internal terhadap kecenderungan kecurangan akuntansi pada Pemerintah Daerah di Pamekasan. Teknik pengambilan sampel yang digunakan adalah purposive sampling dengan kriteria: pegawai yang melaksanakan fungsi akuntansi dan pelaporan dalam menyusun laporan keuangan maupun yang terlibat dalam proses pencatatan akuntansi, Sudah bekerja di bagian keuangan minimal 1 tahun kerja pada OPD yang bersangkutan. Jumlah sampel yang diambil dalam penelitian ini sebanyak 79 responden. Sampel yang digunakan dalam penelitian ini adalah kepala dinas, Kasubbag keuangan dan stafnya, bendahara, auditor dan penatausahaan keuangan. 
Hasil penelitian ini menunjukkan bahwa kesesuaian kompensasi berpengaruh negatif terhadap kecenderungan kecurangan akuntansi, moralitas individu berpengaruh negatif terhadap kecenderungan kecurangan akuntansi dan pengendalian internal berpengaruh negatif terhadap kecenderungan kecurangan akuntansi pada Pemerintah Daerah di Pamekasan. 

Kata kunci :  Kesesuaian Kompensasi, Moralitas Individu, Pengendalian Internal,
Kecenderungan Kecurangan Akuntansi
"
"Faktor-Faktor Yang Mempengaruhi Minat Staff Audit Untuk
Melanjutkan Karir Sebagai Partner dan Pengaruhnya Terhadap Perkembangan
KAP dengan Bentuk Partnership sebagai Moderating. ",Penulis : Rukmawati,"Dosen Pembimbing I : Fariyana Kusumawati, S.E., M.Si","Dosen Pembimbing II :Adi Darmawan Erfanto, S.E., MA., Ak., CPA","Penelitian ini bertujuan untuk menganalisis pengaruh formal requirement, uang,
jabatan karir, networking dan terhadap minat staf audit untuk melanjutkan karir
menjadi partner dan perkembangannya terhadap perkembangan Kantor Akuntan
Publik dengan bentuk partnership sebagai moderating. Metode penelitian ini
menggunakan metode kuantitatif. Populasi dalam penelitian ini adalah staf audit
Kantor Akuntan Publik. Sampel dalam penelitian ini adalah staf audit Kantor
Akuntan Publik di Kota Surabaya. Teknik pengambilan sampel dalam penelitian
ini menggunakan sampling incidental. Teknik analisis data yang digunakan
adalah Partial Least Squares. Hasil penelitian ini adalah : 1
Kata Kunci : Formal requirement, Uang, jabatan karir, Networking, Reputasi,
Partner, perkembangan Kantor Akuntan Publik"
"Prediksi Financial Distress Perusahaan Manufaktur dengan Model
Zavgren (Studi Empiris pada Perusahaa Delisting dan Listing di BEI Periode 10
Tahun).",Penulis : Selviana,"Dosen Pembimbing I : Junaidi, SE.,Msi.,Ak.,CA","Dosen Pembimbing II :Anita Carolina, SE.,Mbus.,ADV.,Ak.,QIA.,CA.","Tujuan penelitian ini adalah untuk memperoleh bukti empiris pengaruh 
inventory turnover, receivable turnover, cash position, current ratio, return on
investment, financial leverage dan capital turnover terhadap financial distress
perushaaan manufaktur. Populasi dalam penelitian ini adalah seluruh perusahaan
manufaktur yang delisting dan listing  dari Bursa Efek Indonesia. Pengambilan
sampel dengan metode purposive sampling. Tehnik analisis yang digunakan
dalam penelitian ini adalah analisis regresi logistik biner dengan program SPSS
versi 16.0. 
 Hasil pengujian menunjukkan bahwa (1) inventory turnover tidak
berpengaruh terhadap financial distress karena kenaikan biaya perusahaan tidak
sejalan dengan laba perusahaan dan penjualan yang meningkat, rata-rata rasio
perusahaan sehat dibawah kategori financial distress, tehnik dan standar
akuntansi setiap perusahaan berbeda yang mempengaruhi penilaian. (2)
receivable turnover berpengaruh terhadap financial distress karena semakin tinggi
rasio memperlambat perputaran persediaan dan menurunkan kas perusahaan. (3)
Cash Position tidak berpengaruh terhadap financial distress karena besar kecil
angka rasio yang dihasilkan tidak mampu membedakan kategori financial distress.
laws and regulations based setiap perusahaan berbeda.(4) current ratio
berpengaruh terhadap financial distress karena semakin tinggi rasio menandakan
perusahaan memiliki kapasitas membayar kewajiban lancar dan indikasi financial
distress rendah. (5) return on investment tidak berpengaruh terhadap financial
distress karena besar kecil angka rasio yang dihasilkan tidak mampu menunjukkan
kategori financial distress perusahaan dan hanya membandingak rate of return
dua atau lebih perusahaan tidak cukup untuk perbandingan karena hasilnya tidak
memuaskan. (6) financial leverage berpengaruh terhadap financial distress karena
semakin tinggi rasio menandakan perusahaan sebagian besar didanai oleh
pinjaman dan risiko yang ditanggung tidak kecil sehingga terindikasi financial
distress. (7) rasio capital turnover tidak berpengaruh terhadap financial distress
perusahaan karena tidak ada ketentuan mutlak kisaran rasio dikatakan baik dan
masing-masing perusahaan memiliki karakteristik dan praktek akuntansi yang
berbeda.  

Kata Kunci : inventory turnover, receivable turnover, cash position, current ratio, 
return on investment, financial leverage, capital turnover, financial distress. 
"
"PENGARUH BEBAN PAJAK, MEKANISME BONUS, UKURAN PERUSAHAAN, KEPEMILIKAN ASING DAN DEBT CONVENANT TERHADAP KEPUTUSAN PERUSAHAAN DALAM MELAKUKAN TRANSFER PRICING
(perusahaan manufaktur dalam perusahaan LQ 45 yang terdaftar di BEI Tahun 2012-2016)
",Penulis : Nurlia Novida Sari,"Dosen Pembimbing I : Fariyana Kusumawati, S.E., M.Si.","Dosen Pembimbing II :Yuni rimawati, S.E.,M.S.Ak., Ak., CA.","Tujuan dari penelitian ini adalah untuk mengetahui pengaruh pajak, mekanisme bonus, ukuran perusahaan, kepemilikan asing dan debt convenant terhadap keputusan perusahaan dalam melakukan transfer pricing. Populasi yang digunakan dari penelitian ini adalah perusahaan manufaktur dalam perusahaan LQ45 yang terdaftar di Bursa Efek Indonesia. Berdasarkan metode  purposive sampling, sampel berjumlah 7 perusahaan dengan periode pengamatan 2012-2016.
Teknik analisis yang digunakan dalam penelitian ini adalah analisis regresi logistik dengan aplikasi SPSS 21. Hasil yang diperoleh dari penelitian ini adalah bahwa ukuran perusahaan berpengaruh terhadap keputusan perusahaaan dalam melakukan transfer pricing, sedangkan pajak, mekanisme bonus, kepemilikan asing dan debt convenant tidak berpengaruh terhadap keputusan perusahaan dalam melakukan transfer pricing.
Kata kunci : pajak, mekanisme bonus, ukuran perusahaan, kepemilikan asing, debt convenant dan transfer pricing.
 
"
"ABNORMAL RETURN, EARNING PER SHARE, TRADING VOLUME ACTIVITY, DAN PRICE EARNING RASIO PADA PERISTIWA STOCK SPLIT
(Studi Pada Perusahaan Yang Terdaftar di BEI Periode 2011-2014)
",Penulis : ANAFININGSIH,"Dosen Pembimbing I : Anita Carolina, SE., MbusAdv., Ak., QIA., CA.","Dosen Pembimbing II :Muhammad Syam Kusufi, SE., M.Sc","Tujuan utama dari penelitian ini adalah untuk mengetahui perbedaan abnormal return, Earning Per Share (EPS), Trading Volume Activity (TVA) dan Price Earning Rasio (PER) sebelum dan sesudah stock split pada perusahaan yang terdaftar di Bursa Efek Indonesia periode 2011-2014. Dengan menggunakan metode purposive sampling dipilih 25 sampel perusahaan yang memenuhi kriteria. Periode pengamatan selama 5 hari sebelum dan 5 hari sesudah stock split. Perhitungan abnormal return menggunakan market adjusted model. Pengujian hipotesis digunakan uji Wilcoxon Signed Ranks Test.
 Hasilnya menunjukkan bahwa (1)Tidak ada perbedaan abnormal return sebelum dan sesudah stock split karena stock split tidak memberikan good news bagi investor. Hal ini dapat dilihat dari penurunan abnormal return setelah stock split karena investor tidak mendapatkan keuntungan dari peristiwa stock split; (2) Ada perbedaan EPS sebelum dan sesudah stock split, tetapi  perbedaan tersebut berupa penurunan EPS setelah peristiwa stock split karena ada biaya yang harus dikeluarkan untuk stock split yang tidak sebanding dengan manfaat yang dihasilkan; (3) Ada perbedaan TVA sebelum dan sesudah stock split karena investor bereaksi cepat melihat harga saham yang murah setelah stock split; (4) Dan tidak ada perbedaan PER sebelum dan sesudah stock split karena investor harus membayar harga saham yang tinggi untuk setiap pendapatan yang diperolehnya setelah peristiwa stock split.
Kata kunci: Stock Split, Abnormal Return, Earning Per Share, Trading Volume Activity, dan Price Earning Ratio
"
"FAKTOR-FAKTOR YANG MEMPENGARUHI KELEMAHAN PENGENDALIAN INTERN PEMERINTAH DAERAH
(Studi Empiris pada Pemerintah Provinsi di Indonesia Tahun 2011-2015)
",Penulis : SRI UTAMI,"Dosen Pembimbing I : Muhammad Syam Kusufi, SE., M.Sc","Dosen Pembimbing II :Anita Carolina, S.E., M. BusAdv., Ak., QIA., CA. ","Penelitian ini bertujuan untuk mengetahui faktor-faktor yang mempengaruhi kelemahan pengendalian intern pemerintah provinsi di Indonesia. Variabel independen yang digunakan dalam penelitian ini adalah ukuran pemerintah, pendapatan asli daerah, belanja modal dan jumlah organisasi perangkat daerah, sedangkan variabel dependen menggunakan jumlah kelemahan pengendalian intern. Populasi yang digunakan adalah seluruh pemerintah daerah di Indonesia, dan sampel yang digunakan adalah pemerintah provinsi di Indonesia tahun 2011-2015. Berdasarkan metode purposive sampling, jumlah sampel penelitian adalah 165 pemerintah provinsi. Data yang digunakan adalah data sekunder diperoleh dari BPK-RI berupa Ihtisar Hasil Pemeriksaan Semester (IHPS) semester 1 dan 2 dan LHP BPK-RI. 

Penelitian membandingkan metode regresi berganda IBM SPSS 21 dan SmartPLS 3.0. Hasil penelitian menunjukkan bahwa ukuran pemerintah daerah berpengaruh positif terhadap kelemahan pengendalian intern, pendapatan asli daerah dan belanja modal tidak berpengaruh terhadap kelemahan pengendalian intern dan jumlah organisasi perangkat daerah berpengaruh negatif terhadap kelemahan pengendalian intern.

Kata kunci: kelemahan pengendalian  intern, ukuran pemerintah, pendapatan asli daerah, belanja modal

"
FAKTOR-FAKTOR YANG MEMPENGARUHI EFFECTIVE TAX RATE (Studi Empiris Pada Perusahaan Manufaktur Yang Terdaftar di Bursa Efek Indonesia (BEI) Tahun 2012-2016),Penulis : Malinda Sofyana,"Dosen Pembimbing I : Anita Carolina, SE., MBusAdv., Ak., QIA.,CA. ","Dosen Pembimbing II :Emi Rahmawati, SE., M.Si.","Penelitian ini bertujuan untuk memperoleh bukti empiris tentang faktor-faktor yang mempengaruhi effective tax rate. Variabel independen yang digunakan dalam penelitian ini adalah size, capital intensity, ROA, leverage dan inventory intensity. Variabel dependen adalah effective tax rate. Populasi yang digunakan dalam penelitian ini adalah perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia (BEI) pada periode 2012-2016. Sampel yang dikumpulkan menggunakan metode purposive sampling. Total 169 perusahaan ditentukan sebagai sampel selama tahun 2012-2016. Metode analisis penelitian ini menggunakan regresi linier berganda. Hasil penelitian menunjukkan bahwa capital intensity dan ROA berpengaruh signifikan terhadap effective tax rate. sedangkan size, leverage, dan inventory intensity tidak berpengaruh terhadap effective tax rate.



Kata Kunci : Size, Capital Intensity, ROA, Leverage, Inventory Intensity, Effective Tax Rate.

"
"PENGARUH FREE CASH FLOW, LEVERAGE, DIVIDEND PAYOUT RATIO DAN PROFITABILITAS TERHADAP KEPUTUSAN INVESTASI (STUDY EMPIRIS PADA PERUSAHAAN KOMPAS100 PERIODE 2013-2015)",Penulis : ZAINOL HOLIFAH,"Dosen Pembimbing I : Fariyana Kusumawati, S.E.,M.Si.","Dosen Pembimbing II :Anis Wulandari, S.E.,M.SA.,Ak., CA.","ABSTRAK
Zainol Holifah, Pengaruh Free Cash Flow, Leverage, Dividend Payout Ratio Dan Profitabilitas Terhadap Keputusan Investasi (Studi Empiris Pada Perusahaan Kompas100 Periode 2013-2015). Di bawah bimbingan Fariyana Kusumawati, SE.,MSi dan Anis Wulandari, SE.,MSA.,Ak.,CA.

Penelitian ini bertujuan untuk mengetahui faktor-faktor yang mempengaruhi keputusan investasi pada perusahaan yang tercantum dalam kompas100. Variabel dependen dalam penelitian ini adalah keputusan investasi. Variabel independennya adalah free cash flow, leverage, dividend payout ratio dan profitabilitas.
Jenis penelitian ini adalah kuantitatif. Populasi pada penelitian ini yaitu seluruh perusahaan yang termasuk dalam bagian kompas100 dan terdaftar di Bursa Efek Indonesia periode 2013-2015. Teknik pengambilan sampel yang digunakan adalah purposive sampling. Jumlah populasi dalam penelitian ini sebanyak 100 perusahaan dan diperoleh sampel sebanyak 15 perusahaan dengan observasi sebanyak 45. Metode analisis data yang digunakan adalah SPSS versi 21.
Berdasarkan hasil analisis, menunjukkan bahwa (1) free cash flow tidak berpengaruh terhadap keputusan investasi; (2) leverage berpengaruh positif terhadap keputusan investasi; (3) dividend payout ratio tidak berpengaruh terhadap keputusan investasi; dan(4) profitabilitas berpengaruh positif terhadap keputusan investasi.

Kata Kunci : keputusan investasi, free cash flow, leverage, dividend payout ratio dan profitabilitas.
?
"
"PENGARUH MATA KULIAH ETIKA BISNIS DAN PROFESI, KECERDASAN 
INTELEKTUAL, KECERDASAN EMOSIONAL, DAN KECERDASAN 
SPIRITUAL TERHADAP SIKAP ETIS MAHASISWA AKUNTANSI DI MADURA ",Penulis : PUTRA BESSY JUNIARTA ,"Dosen Pembimbing I : Junaidi SE., M.Si., Ak., CA","Dosen Pembimbing II :Muhammad Syam Kusufi, S.E., M.Sc","ABSTRAK
Penelitian ini bertujuan untuk mengetahui pengaruh mata kuliah etika 
bisnis dan profesi, kecerdasan inetelektual, kecerdasan emosional, dan
kecerdasan spiritual terhadap sikap etis mahasiswa akuntansi di Madura. 
Penelitian ini merupakan jenis kuantitatif, data yang digunakan adalah
data primer dengan menggunakan kuesioner. Sampel dalam penelitian ini
diambil dengan menggunakan metode purposive sampling dengan kriteria telah
menempuh mata kuliah etika bisnis dan profesi, auditing 1 dan auditing 2.
Penelitian ini menggunakan mahasiswa S1 akuntansi semester tujuh dari dua
universitas yakni Universitas Trunojoyo Madura (UTM) dan Universitas Islam
Madura (UIM) dengan total populasi 238, sedangkan sampel yang digunakan
sebesar 89 responden. Analisis data yang diperoleh menggunakan Partial Least
Square (PLS) dengan bantuan aplikasi smartPLS versi 3. 
Hasil penelitian yang diperoleh menunjukkan bahwa mata kuliah etika
bisnis dan profesi berpengaruh signifikan terhadap sikap etis mahasiswa
akuntansi, kecerdasan intelektual tidak berpengaruh terhadap sikap etis
mahasiswa akuntansi, kecerdasan emosional tidak berpengaruh terhadap sikap
etis mahasiswa akuntansi, kecerdasan spiritual berpengaruh signifikan terhadap
sikap etis mahasiswa akuntansi. 
Kata kunci: Mata Kuliah Etika Bisnis, Kecerdasan Intelektual, Kecerdasan
Emosional, Kecerdasan Spiritual, Sikap Etis, Etika 
 "
POTRET SUMBER DAN PENGGUNAAN DANA SUMBANGAN PEMBANGUNAN MASJID BAITUR ROHMAN,Penulis : HARYONO,"Dosen Pembimbing I : Robiatul Auliyah, S.E., MSA.","Dosen Pembimbing II :Dr. Rita Yuliana, S.E., MSA., Ak.,CA.","Tujuan penelitian ini adalah untuk mengungkap potret sumber dan penggunaan dana sumbangan pembangunan Masjid Baitur Rohman Desa Kotah Kecamatan Jrengik Kabupaten Sampang. Penelitian ini menggunakan metode kualitatif. Metode yang digunakan dalam penelitian ini adalah deskriptif. Metode pengumpulan data yang digunakan adalah wawancara tidak terstruktur, observasi, dan studi dokumentasi. Kesimpulan Penggalangan dana sumbangan panitia menghampiri setiap rumah masyarakat sekitar masjid, baru setelah warga memberikan sumbangan petugas penggalangan dana selanjutnya langsung mencatat besarnya sumbangan yang di berikan agar ada rasa kepercayaan dari masyarakat, sumbangan untuk pembangunan masjid yang di tarik dari warga sekitar tidak ditentukan tarifnya akan tetapi sumbangannya sukarela sesuai dengan kondisi kuangan warga tersebut. Untuk pendapatan yang dituturkan oleh bapak Salaman ini tidak selamanya stabil akan tetapi ada pasang surutnya. Setelah mendapatkan uang dari hasil sumbangan yang dikumpulkan dari masyarakat bapak Salaman dan rekannya langsung menyetornya ke bendahara yakni bapak Najib. Sumber dan penggunaan dana sumbangan dari masyarakat berapapun yang diperoleh selalu dicatat tanpa mengurangi dan menambahkan sedikitpun, supaya uang yang telah disumbangankan untuk menciptakan rasa nyaman dan aman tetap dilakukan pencatatan untuk mengantisipasi jika ada masyarakat yang bertanya tentang masalah keuangan masjid bendahara bisa menunjukkan bukti pemasukan dan pengeluaran selaman pembangunan berlangsung. 

Kata Kunci : Penggunaan, Dana, Sumbangan
"
"FAKTOR-FAKTOR YANG MEMPENGARUHI KEMAUAN
WAJIB PAJAK DALAM MELAPORKAN SURAT PEMBERITAHUAN (SPT). (STUDI KASUS PADA WAJIB PAJAK YANG MELAKUKAN KEGIATAN USAHA DAN PEKERJAAN BEBAS DI KANTOR PELAYANAN PAJAK PRATAMA PAMEKASAN)
",Penulis : Milawati Rosadi ,"Dosen Pembimbing I : Dr. Tarjo, S.E., M.Si., CPAI., CFE","Dosen Pembimbing II :Anis Wulandari, S.E., MSA., Ak.,CA","Abstrak:  Penelitian ini bertujuan untuk menganalisis faktor-faktor yang mempengaruhi 
kesediaan pelaporan SPT. Jenis penelitian ini adalah pendekatan kuantitatif dan diuji 
dengan menggunakan perangkat lunak SPSS. Sampel yang digunakan individu yang 
melakukan kegiatan usaha dan melakukan pekerjaan bebas di KPP Pratama 
Pamekasan. Hasil penelitian menunjukkan bahwa variabel kesadaran wajib pajak dan 
kemudahan proses pengisian SPT yang berpengaruh terhadap kesediaan pelaporan 
SPT. Kemudian ditemukan variabel persepsi yang baik mengenai sistem perpajakan dan 
sanksi pajak tidak berpengaruh terhadap kemauan pelaporan SPT. 
Kata Kunci: Kesadaran wajib pajak, kemudahan proses pengisian SPT, persepsi yang 
baik atas efektivitas sistem perpajakan, sanksi dalam perpajakan, dan kemauan wajib 
pajak melaporkan SPT.  "
"Fenomena Pengelolaan
Anggaran Pendapatan dan Belanja Desa
(Di Desa Kotah Kecamatan Jrengik Kabupaten Sampang)
",Penulis : Faisol,"Dosen Pembimbing I : Dr. Bambang Haryadi, S.E., M.Si., Ak., CA.","Dosen Pembimbing II :Gita Arasy Harwida, S.E., M.Tax., Ak., QIA., CA.","Tujuan dari penelitian ini adalah untuk mengetahui implementasi pengelolaan Anggaran Pendapatan dan Belanja Desa di Desa Kotah Kecamatan Jrengik Kabupaten Sampang. Penelitian ini lebih fokus pada pengelolaan Anggaran Pendapatan dan Belanja Desa mulai dari perencanaan sampai dengan pertanggungjawaban. Penelitian ini menggunakan metode kualitatif dengan pendekatan deskriftif. Objek penelitian ini pada Desa Kotah Kecamatan Jrengik Kabupaten Sampang. Prosedur pengumpulan data yang digunakan yaitu observasi, wawancara dan dokumentasi.

Kesimpulan dari penelitian ini adalah (1) pada tahap perencanaan Anggaran Pendapatan dan Belanja Desa tidak berjalan semestinya, dalam pelaksanaan Musrenbangdes terlihat hanya formalitas semua program kerja yang ditetapkan pemerintah Desa Kotah sudah disiapkan sebelum pelaksanaan  Musrenbangdes. Penyusunan dokumen Anggaran Pendapatan dan Belanja Desa diserahkan sepenuhnya kepada pendamping desa dan tidak ada pembahasan Raperdes tentang Anggaran Pendapatan dan Belanja Desa antara Kepala Desa dan BPD. (2) pada tahap pelaksanaan Anggaran Pendapatan dan Belanja Desa ada ketergantungan pemerintah desa terhadap pendamping desa sehingga pengadaan barang desa masih dipegang pendamping desa. Pada tahun anggaran 2017 pendapatan Desa Kotah lebih besar diantara desa se-Kecamatan Jrengik, namun meski pendapatan Desa Kotah sangar besar pengelolaan Anggaran Pendapatan dan Belanja Desa masih ditangani pendamping desa sehingga tidak ada kemandirian dari pemerintah Desa Kotah. (3) sedangkan pada tahap pelaporan Anggaran Pendapatan dan Belanja Desa meskipun pendamping desa yang menangani pengelolaan Anggaran Pendapatan dan Belanja Desa dari perencanaan sampai pelaporan namun dalam tahap penyampaian laporan realisasi pelaksanaan Anggaran Pendapatan dan Belanja Desa masih tidak tepat waktu.


Kata Kunci: Anggaran Pendapatan dan Belanja Desa

"
"Dampak Stock Split Terhadap Trading Volume Activity dan 
Abnormal Return Pada Perusahaan Terindeks LQ45 Periode 2013-2016",Penulis : Azuan Adipraja,"Dosen Pembimbing I :  Dr. Prasetyono, S.E., M.Si., Ak","Dosen Pembimbing II :Emi Rahmawati, SE., M.Si","Penelitian ini bertujuan untuk mengetahui reaksi pasar terhadap aksi
perusahaan Indeks LQ45 berupa stock split yang dilakukan dalam periode 20132016
10
hari
sebelum
pengumuman
stock
split
dan
10
hari
sesudah
pengumuman

stock
split.
Penelitian
ini
juga
bertujuan
untuk
menganalisa
efek
dari
pengumuman

stock
split
terhadap
abnormal
return
dan
trading
volume
activity.


Penelitian ini dilakukan menggunakan penelitian kuantitatif, dengan
populasi 45 perusahaan yang terdaftar pada Indeks LQ45. Sampel sebanyak 4
perusahaan dipilih dengan teknik purposive sampling. Setelah data dikumpulkan,
data dianalisis dengan menggunakan program SPSS menggunakan uji normalitas
Kolmogorov-Smirnov dan paired sample t test. Penelitian ini menemukan bahwa
terdapat perbedaan trading volume activity sebelum dan sesudah pengumuman
stock split, hal ini mendukung trading range theory. Dan tidak terdapat perbedaan
pada abnormal return, hal ini disebabkan karena adanya perbedaan investor
dalam menangkap âsinyalâ yang diberikan perusahaan melalui stock split.


Kata Kunci: stock split, trading volume activity, abnormal return, event study,
trading range theory, LQ45. "
PENGARUH KINERJA KEUANGAN TERHADAP PERINGKAT OBLIGASI KONVENSIONAL DAN PERINGKAT SUKUK KORPORASI DI INDONESIA PERIODE 2013-2016,Penulis : AINUR ROHMAH,"Dosen Pembimbing I : Prof. Dr. H. M. Nizarul Alim, S.E., M.Si., Ak., CA.","Dosen Pembimbing II :Dr. Rita Yuliana, S.E., MSA., Ak., CA.","Abstrak
Tujuan dari penelitian ini untuk menganalisis pengaruh kinerja keuangan (profitabilitas, daya ungkit dan produktivitas) terhadap peringkat obligasi dan sukuk di Indonesia. Populasi yang digunakan apada penelitian adalah perusahaan yang menerbitkan obligasi dan sukuk periode 2013-2016 dan metode penentuan sampel menggunakan teknik Purposive Sampling. Penelitian ini menggunakan analisis regresi linier berganda. Hasil penelitian menunjukkan bahwa profitabilitas tidak berpengaruh terhadap peringkat obligasi, dan berpengaruh terhadap peringkat sukuk. Daya ungkit tidak berpengaruh terhadap peringkat obligasi dan sukuk. Kemudian, produktivitas berpengaruh terhadap peringkat obligasidan tidak berpengaruh terhadap peringkat sukuk.
Kata kunci: profitabilitas, daya ungkit, produktivitas, peringkat obligasi, peringkat sukuk"
"REALITA AKUNTANSI KOPERASI PESANTREN (KOPONTREN) DARI
PERSEPEKTIF AKUNTANSI SYARIAH  
(Studi Pada Kopontren Al-Amien Prenduan)
 ",Penulis : ULFATUL MUBAROKAH,"Dosen Pembimbing I : Prof. Dr. H. M. Nizarul Alim,S.E., M.Si., Ak., CA ","Dosen Pembimbing II :Dr. Rita Yuliana, S.E., MSA., Ak., CA ","Ulfatul Mubarokah, Realita Akuntansi Koperasi Pondok Pesantren
(KOPONTREN) Dari Perspektif Akuntansi Syariah (Studi Pada KOPONTREN
Al-Amien Prenduan Sumenep). Dibawah bimbingan Prof. Dr. H. M. Nizarul
Alim, S.E., M.Si., Ak., CA dan Dr. Rita Yuliana, S.E., MSA., Ak., CA
Tujuan Penelitian ini adalah untuk mengatahui realita akuntansi
KOPONTREN dari perspekti akuntansi syariah khususnya di KOPONTREN
Al-Amien Prenduan, fokus penelitian pada praktik laporan keuangan.  
Jenis Penelitian yang digunakan dalam penelitian ini adalah pendekatan
kualitatif deskriptif. Tujuannya yaitu untuk mendapatkan kecakapan dalam
mendapatkan informasi dan data yang dibutuhkan dari KOPONTREN Al-Amien
Prenduan. Analisis yang digunakan adalah reduksi data yang didapatkan selama
penelitian, dilanjutkan dengan penyajian data dengan penguraian pembahasan
secara deskriptif dan tahapan terakhir pengambilan kesimpulan atas penelitian
yang dilakukan.  
Hasil penelitian menyatakan bahwa dalam penerapan standar akuntansi
di KOPONTREN Al-Amien Prenduan tidak sepenuhnya mengadopsi standar
akuntansi syariah, namun penyajian laporan keuangan yang sederhana disusun
sebagai bentuk pertanggungjawaban atas sumber daya yang diamanahkan
untuk dikelola. Pertanggungjawaban utama kepada Pimpinan Pondok Pesantren
karena hal itu menjadi bentuk pertanggungjawaban Pimpinan Pondok Pesantren
khususnya kepada anggota KOPONTREN dan kepada masyarakat pada
umumnya.

Kata Kunci: Laporan Keuangan, pertanggungjawaban, Koperasi Pondok
Pesantren. "
"MENELUSURI METODE PERHITUNGAN DAN PENYALURAN ZAKAT PERNIAGAAN
PEMILIK INDUSTRI KECIL KERIPIK SINGKONG âBABYâ",Penulis : Rubiyah Kustiana,Dosen Pembimbing I : Prof. Dr. H. M. Nizarul Alim,Dosen Pembimbing II :,"ABSTRAK
Penelitian ini bertujuan untuk mengungkap cara perhitungan dan penyaluran
zakat perniagaan pemilik industri kecil keripik singkong âBabyâ. Selain itu, untuk
mengetahui nilai-nilai yang terkandung dalam zakat perniagaan dari kebiasaan pemilik
industri kecil dalam berzakat perniagaan. Penelitian ini menggunakan penelitian
kualitatif dengan pendekatan fenomenologi transcendental untuk mengungkap metode
perhitungan dan penyaluran zakat perniagaan dari sudut pandang pemilik usaha. Situs
penelitian ini berada di Desa Pamolokan Kecamatan Kota Kabupaten Sumenep Madura.
Hasil penelitian ini menunjukkan adanya perbedaan metode perhitungan zakat
perniagaan, yaitu pemilik usaha dalam menghitung zakat perniagaan berdasarkan
perkiraan. Pembayaran zakat perniagaan, pemilik usaha tanpa memperhatikan bebas
hutang dan jumlah zakat. Persentase zakat yang disalurkan sebesar 1,5%, dan zakat
diambil dari hasil penjualan (omzet). Pembayaran zakatnya satu tahun sekali di bulan
Ramadhan kepada warga yang layak menerimanya. Disamping itu, penelitian ini
menunjukkan nilai-nilai Islam yang terkandung dalam berzakat perniagaan. Pertama,
persentase zakat: sebagai rasa syukur yang diberikan Allah. Kedua, pemberian di bulan
Ramadhan mendapatkan pahala yang berlipat ganda. Yang ketiga, kewajiban berzakat:
ada hak orang lain yang harus dikeluarkan. Penyaluran zakat perniagaan kepada
mustahiq disekitar rumahnya untuk saling membantu, dan jenis zakat berupa uang dan
beras diharapkan bisa membantu kebutuhannya serta sarung bisa digunakan untuk
beribadah (sholat).
Kata Kunci: Zakat perniagaan, Industri Kecil, Nilai-Nilai"
